subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification
MONDO:0000107	auriculocondylar syndrome	skos:exactMatch	Orphanet:137888	Auriculocondylar syndrome	semapv:UnspecifiedMatching
MONDO:0000110	bifid nose	skos:exactMatch	Orphanet:2695	Bifid nose	semapv:UnspecifiedMatching
MONDO:0000118	reticulate pigment disorder	skos:exactMatch	OMIMPS:179850	Reticulate pigment disorders	semapv:UnspecifiedMatching
MONDO:0000127	geleophysic dysplasia	skos:exactMatch	OMIMPS:231050	Geleophysic dysplasia	semapv:UnspecifiedMatching
MONDO:0000127	geleophysic dysplasia	skos:exactMatch	Orphanet:2623	Geleophysic dysplasia	semapv:UnspecifiedMatching
MONDO:0000128	giant axonal neuropathy	skos:exactMatch	OMIMPS:256850	Giant axonal neuropathy	semapv:UnspecifiedMatching
MONDO:0000133	immunodeficiency-centromeric instability-facial anomalies syndrome	skos:exactMatch	OMIMPS:242860	Immunodeficiency-centromeric instability-facial anomalies	semapv:UnspecifiedMatching
MONDO:0000133	immunodeficiency-centromeric instability-facial anomalies syndrome	skos:exactMatch	Orphanet:2268	ICF syndrome	semapv:UnspecifiedMatching
MONDO:0000136	keratosis follicularis spinulosa decalvans	skos:exactMatch	Orphanet:2340	Keratosis follicularis spinulosa decalvans	semapv:UnspecifiedMatching
MONDO:0000137	leukoencephalopathy, megalencephalic	skos:exactMatch	OMIMPS:604004	Leukoencephalopathy, megalencephalic	semapv:UnspecifiedMatching
MONDO:0000141	mosaic variegated aneuploidy syndrome	skos:exactMatch	OMIMPS:257300	Mosaic variegated aneuploidy syndrome	semapv:UnspecifiedMatching
MONDO:0000141	mosaic variegated aneuploidy syndrome	skos:exactMatch	Orphanet:1052	Mosaic variegated aneuploidy syndrome	semapv:UnspecifiedMatching
MONDO:0000148	pulmonary fibrosis and/or bone marrow failure, telomere-related	skos:exactMatch	OMIMPS:614742	Pulmonary fibrosis and/or bone marrow failure syndrome, telomere-related	semapv:UnspecifiedMatching
MONDO:0000152	thiamine-responsive dysfunction syndrome	skos:exactMatch	OMIMPS:249270	Thiamine-responsive dysfunction syndrome	semapv:UnspecifiedMatching
MONDO:0000153	transposition of the great arteries	skos:exactMatch	Orphanet:216675	Transposition of the great arteries	semapv:UnspecifiedMatching
MONDO:0000158	developmental dysplasia of the hip	skos:exactMatch	OMIMPS:142700	Developmental dysplasia of the hip	semapv:UnspecifiedMatching
MONDO:0000159	bone marrow failure syndrome	skos:exactMatch	OMIMPS:614675	Bone marrow failure syndrome	semapv:UnspecifiedMatching
MONDO:0000160	epilepsy, familial adult myoclonic	skos:exactMatch	OMIMPS:601068	Epilepsy, familial adult myoclonic	semapv:UnspecifiedMatching
MONDO:0000166	encephalopathy, acute, infection-induced	skos:exactMatch	OMIMPS:610551	Encephalopathy/encephalitis, acute, infection-induced	semapv:UnspecifiedMatching
MONDO:0000169	obsolete microphthalmia, isolated, with cataract	skos:exactMatch	OMIMPS:156850		semapv:UnspecifiedMatching
MONDO:0000170	microphthalmia, isolated, with coloboma	skos:exactMatch	OMIMPS:300345	Microphthalmia, isolated, with coloboma	semapv:UnspecifiedMatching
MONDO:0000170	microphthalmia, isolated, with coloboma	skos:exactMatch	Orphanet:98938	Colobomatous microphthalmia	semapv:UnspecifiedMatching
MONDO:0000171	muscular dystrophy-dystroglycanopathy, type A	skos:exactMatch	OMIMPS:236670	Muscular dystrophy-dystroglycanopathy, type A	semapv:UnspecifiedMatching
MONDO:0000171	muscular dystrophy-dystroglycanopathy, type A	skos:exactMatch	Orphanet:899	Walker-Warburg syndrome	semapv:UnspecifiedMatching
MONDO:0000172	muscular dystrophy-dystroglycanopathy, type B	skos:exactMatch	OMIMPS:613155	Muscular dystrophy-dystroglycanopathy, type B	semapv:UnspecifiedMatching
MONDO:0000173	muscular dystrophy-dystroglycanopathy, type C	skos:exactMatch	OMIMPS:609308	Muscular dystrophy-dystroglycanopathy, type C	semapv:UnspecifiedMatching
MONDO:0000179	Neu-Laxova syndrome	skos:exactMatch	OMIMPS:256520	Neu-Laxova syndrome	semapv:UnspecifiedMatching
MONDO:0000179	Neu-Laxova syndrome	skos:exactMatch	Orphanet:2671	Neu-Laxova syndrome	semapv:UnspecifiedMatching
MONDO:0000181	microcephaly and chorioretinopathy	skos:exactMatch	OMIMPS:251270	Microcephaly and chorioretinopathy	semapv:UnspecifiedMatching
MONDO:0000182	congenital myasthenic syndrome with tubular aggregates	skos:exactMatch	OMIMPS:610542	Myasthenic syndrome, congenital, with tubular aggregates	semapv:UnspecifiedMatching
MONDO:0000188	GLUT1 deficiency syndrome	skos:exactMatch	OMIMPS:606777	Glut1 deficiency syndrome	semapv:UnspecifiedMatching
MONDO:0000192	polyglucosan body myopathy	skos:exactMatch	OMIMPS:615895	Polyglucosan body myopathy	semapv:UnspecifiedMatching
MONDO:0000193	cortisone reductase deficiency	skos:exactMatch	OMIMPS:604931	Cortisone reductase deficiency	semapv:UnspecifiedMatching
MONDO:0000193	cortisone reductase deficiency	skos:exactMatch	Orphanet:168588	Hyperandrogenism due to cortisone reductase deficiency	semapv:UnspecifiedMatching
MONDO:0000200	Zimmermann-Laband syndrome	skos:exactMatch	OMIMPS:135500	Zimmermann-Laband syndrome	semapv:UnspecifiedMatching
MONDO:0000200	Zimmermann-Laband syndrome	skos:exactMatch	Orphanet:3473	Zimmermann-Laband syndrome	semapv:UnspecifiedMatching
MONDO:0000204	obsolete skin creases, congenital symmetric circumferential	skos:exactMatch	OMIMPS:156610	Skin creases, congenital symmetric circumferential	semapv:UnspecifiedMatching
MONDO:0000208	microcephaly, short stature, and impaired glucose metabolism 1	skos:exactMatch	OMIM:616033	microcephaly, short stature, and impaired glucose metabolism 1	semapv:UnspecifiedMatching
MONDO:0000209	prenatal-onset spinal muscular atrophy with congenital bone fractures	skos:exactMatch	OMIMPS:616866	Spinal muscular atrophy with congenital bone fractures	semapv:UnspecifiedMatching
MONDO:0000209	prenatal-onset spinal muscular atrophy with congenital bone fractures	skos:exactMatch	Orphanet:486811	Prenatal-onset spinal muscular atrophy with congenital bone fractures	semapv:UnspecifiedMatching
MONDO:0000210	thiopurine metabolic disease	skos:exactMatch	OMIMPS:610460	Thiopurines, poor metabolism of	semapv:UnspecifiedMatching
MONDO:0000211	striatal degeneration, autosomal dominant	skos:exactMatch	OMIMPS:609161	Striatal degeneration, autosomal dominant	semapv:UnspecifiedMatching
MONDO:0000211	striatal degeneration, autosomal dominant	skos:exactMatch	Orphanet:228169	Autosomal dominant striatal neurodegeneration	semapv:UnspecifiedMatching
MONDO:0000212	hypercalcemia, infantile	skos:exactMatch	OMIMPS:143880	Hypercalcemia, infantile	semapv:UnspecifiedMatching
MONDO:0000212	hypercalcemia, infantile	skos:exactMatch	Orphanet:300547	Autosomal recessive infantile hypercalcemia	semapv:UnspecifiedMatching
MONDO:0000213	autoimmune disease, multisystem, infantile-onset	skos:exactMatch	OMIMPS:615952	Autoimmune disease, multisystem, infantile-onset	semapv:UnspecifiedMatching
MONDO:0000214	hypermanganesemia with dystonia	skos:exactMatch	OMIMPS:613280	Hypermanganesemia with dystonia	semapv:UnspecifiedMatching
MONDO:0000218	obsolete preimplantation embryonic lethality	skos:exactMatch	OMIMPS:616814		semapv:UnspecifiedMatching
MONDO:0000330	endemic typhus	skos:exactMatch	Orphanet:83315	Murine typhus	semapv:UnspecifiedMatching
MONDO:0000334	multinodular goiter	skos:exactMatch	OMIMPS:138800	Goiter, multinodular	semapv:UnspecifiedMatching
MONDO:0000355	Ullrich congenital muscular dystrophy	skos:exactMatch	OMIMPS:254090	Ullrich congenital muscular dystrophy	semapv:UnspecifiedMatching
MONDO:0000355	Ullrich congenital muscular dystrophy	skos:exactMatch	Orphanet:75840	Ullrich congenital muscular dystrophy	semapv:UnspecifiedMatching
MONDO:0000358	orofacial cleft	skos:exactMatch	OMIMPS:119530	Orofacial cleft	semapv:UnspecifiedMatching
MONDO:0000359	spondylocostal dysostosis	skos:exactMatch	OMIMPS:277300	Spondylocostal dysostosis	semapv:UnspecifiedMatching
MONDO:0000389	atelosteogenesis	skos:exactMatch	OMIMPS:108720	Atelosteogenesis	semapv:UnspecifiedMatching
MONDO:0000390	vitelliform macular dystrophy	skos:exactMatch	OMIMPS:153840	Macular dystrophy, vitelliform	semapv:UnspecifiedMatching
MONDO:0000437	cerebellar ataxia	skos:exactMatch	Orphanet:102002	Rare ataxia	semapv:UnspecifiedMatching
MONDO:0000447	autosomal dominant polycystic liver disease	skos:exactMatch	OMIMPS:174050	Polycystic liver disease	semapv:UnspecifiedMatching
MONDO:0000447	autosomal dominant polycystic liver disease	skos:exactMatch	Orphanet:2924	Isolated polycystic liver disease	semapv:UnspecifiedMatching
MONDO:0000448	paraganglioma	skos:exactMatch	OMIMPS:168000	Pheochromocytoma/paraganglioma syndrome	semapv:UnspecifiedMatching
MONDO:0000453	short QT syndrome	skos:exactMatch	OMIMPS:609620	Short QT syndrome	semapv:UnspecifiedMatching
MONDO:0000453	short QT syndrome	skos:exactMatch	Orphanet:51083	Familial short QT syndrome	semapv:UnspecifiedMatching
MONDO:0000455	cone dystrophy	skos:exactMatch	Orphanet:1871	Progressive cone dystrophy	semapv:UnspecifiedMatching
MONDO:0000456	cerebral creatine deficiency syndrome	skos:exactMatch	OMIMPS:300352	Cerebral creatine deficiency syndrome	semapv:UnspecifiedMatching
MONDO:0000456	cerebral creatine deficiency syndrome	skos:exactMatch	Orphanet:79172	Creatine deficiency syndrome	semapv:UnspecifiedMatching
MONDO:0000463	Ochoa syndrome	skos:exactMatch	OMIMPS:236730	Urofacial syndrome	semapv:UnspecifiedMatching
MONDO:0000463	Ochoa syndrome	skos:exactMatch	Orphanet:2704	Urofacial syndrome	semapv:UnspecifiedMatching
MONDO:0000476	generalized dystonia	skos:exactMatch	Orphanet:376724	Generalized isolated dystonia	semapv:UnspecifiedMatching
MONDO:0000507	inclusion body myopathy with Paget disease of bone and frontotemporal dementia	skos:exactMatch	OMIMPS:167320	Inclusion body myopathy/Paget disease/frontotemporal dementia	semapv:UnspecifiedMatching
MONDO:0000507	inclusion body myopathy with Paget disease of bone and frontotemporal dementia	skos:exactMatch	Orphanet:52430	Inclusion body myopathy with Paget disease of bone and frontotemporal dementia	semapv:UnspecifiedMatching
MONDO:0000565	infective endocarditis	skos:exactMatch	Orphanet:570762	Infective endocarditis	semapv:UnspecifiedMatching
MONDO:0000608	familial juvenile hyperuricemic nephropathy	skos:exactMatch	OMIMPS:162000	Tubulointerstitial kidney disease	semapv:UnspecifiedMatching
MONDO:0000645	fallopian tube benign neoplasm	skos:exactMatch	Orphanet:180237	Benign tumor of fallopian tubes	semapv:UnspecifiedMatching
MONDO:0000688	inborn organic aciduria	skos:exactMatch	Orphanet:289899	Organic aciduria	semapv:UnspecifiedMatching
MONDO:0000698	gamma-amino butyric acid metabolism disorder	skos:exactMatch	Orphanet:79175	Disorder of gamma-aminobutyric acid metabolism	semapv:UnspecifiedMatching
MONDO:0000700	familial hemiplegic migraine	skos:exactMatch	OMIMPS:141500	Migraine, familial hemiplegic	semapv:UnspecifiedMatching
MONDO:0000723	stutter disorder	skos:exactMatch	OMIMPS:184450	Stuttering, familial persistent	semapv:UnspecifiedMatching
MONDO:0000724	specific language impairment	skos:exactMatch	OMIMPS:606711	Specific language impairment	semapv:UnspecifiedMatching
MONDO:0000732	combined oxidative phosphorylation deficiency	skos:exactMatch	OMIMPS:609060	Combined oxidative phosphorylation deficiency	semapv:UnspecifiedMatching
MONDO:0000733	cornea plana	skos:exactMatch	OMIMPS:121400	Cornea plana	semapv:UnspecifiedMatching
MONDO:0000733	cornea plana	skos:exactMatch	Orphanet:53691	Congenital cornea plana	semapv:UnspecifiedMatching
MONDO:0000736	dyschromatosis universalis hereditaria	skos:exactMatch	OMIMPS:127500	Dyschromatosis universalis hereditaria	semapv:UnspecifiedMatching
MONDO:0000736	dyschromatosis universalis hereditaria	skos:exactMatch	Orphanet:241	Dyschromatosis universalis hereditaria	semapv:UnspecifiedMatching
MONDO:0000754	anal fistula	skos:exactMatch	Orphanet:228113	Anal fistula	semapv:UnspecifiedMatching
MONDO:0000816	abdominal obesity-metabolic syndrome	skos:exactMatch	OMIMPS:605552	Abdominal obesity-metabolic syndrome	semapv:UnspecifiedMatching
MONDO:0000819	anencephaly	skos:exactMatch	OMIMPS:206500	Anencephaly	semapv:UnspecifiedMatching
MONDO:0000824	congenital diarrhea	skos:exactMatch	OMIMPS:214700	Diarrhea, congenital	semapv:UnspecifiedMatching
MONDO:0000827	salmonellosis	skos:exactMatch	Orphanet:795	Rare form of salmonellosis	semapv:UnspecifiedMatching
MONDO:0000845	fibrous dysplasia	skos:exactMatch	Orphanet:249	Fibrous dysplasia of bone	semapv:UnspecifiedMatching
MONDO:0000859	spina bifida occulta	skos:exactMatch	Orphanet:645202	Closed spinal dysraphism	semapv:UnspecifiedMatching
MONDO:0000863	myopathy, lactic acidosis, and sideroblastic anemia	skos:exactMatch	OMIMPS:600462	Myopathy, lactic acidosis, and sideroblastic anemia	semapv:UnspecifiedMatching
MONDO:0000863	myopathy, lactic acidosis, and sideroblastic anemia	skos:exactMatch	Orphanet:2598	Mitochondrial myopathy and sideroblastic anemia	semapv:UnspecifiedMatching
MONDO:0000902	agenesis of the corpus callosum with peripheral neuropathy	skos:exactMatch	OMIM:218000	agenesis of the corpus callosum with peripheral neuropathy	semapv:UnspecifiedMatching
MONDO:0000902	agenesis of the corpus callosum with peripheral neuropathy	skos:exactMatch	Orphanet:1496	Corpus callosum agenesis-neuronopathy syndrome	semapv:UnspecifiedMatching
MONDO:0000903	myoclonus-dystonia syndrome	skos:exactMatch	Orphanet:36899	Myoclonus-dystonia syndrome	semapv:UnspecifiedMatching
MONDO:0000904	complex cortical dysplasia with other brain malformations	skos:exactMatch	OMIMPS:614039	Cortical dysplasia, complex, with other brain malformations	semapv:UnspecifiedMatching
MONDO:0000908	arrhythmogenic right ventricular dysplasia 13	skos:exactMatch	OMIM:615616	arrhythmogenic right ventricular dysplasia, familial, 13	semapv:UnspecifiedMatching
MONDO:0000909	Bartter disease type 4B	skos:exactMatch	OMIM:613090	bartter syndrome, type 4b, neonatal, with sensorineural deafness	semapv:UnspecifiedMatching
MONDO:0000910	retinitis pigmentosa 6	skos:exactMatch	OMIM:312612	retinitis pigmentosa 6	semapv:UnspecifiedMatching
MONDO:0000911	obsolete dilated cardiomyopathy 1T	skos:exactMatch	OMIM:613740		semapv:UnspecifiedMatching
MONDO:0000912	autosomal recessive nonsyndromic hearing loss 5	skos:exactMatch	OMIM:600792	deafness, autosomal recessive 5	semapv:UnspecifiedMatching
MONDO:0000913	hereditary spherocytosis type 2	skos:exactMatch	OMIM:616649	spherocytosis, type 2	semapv:UnspecifiedMatching
MONDO:0000914	cerebral arteriopathy, autosomal dominant, with subcortical infarcts and leukoencephalopathy, type 1	skos:exactMatch	OMIM:125310	cerebral arteriopathy, autosomal dominant, with subcortical infarcts and leukoencephalopathy, type 1	semapv:UnspecifiedMatching
MONDO:0000914	cerebral arteriopathy, autosomal dominant, with subcortical infarcts and leukoencephalopathy, type 1	skos:exactMatch	Orphanet:136	Cerebral autosomal dominant arteriopathy-subcortical infarcts-leukoencephalopathy	semapv:UnspecifiedMatching
MONDO:0000995	familial periodic paralysis	skos:exactMatch	Orphanet:371433	Genetic periodic paralysis	semapv:UnspecifiedMatching
MONDO:0001029	Klippel-Feil syndrome	skos:exactMatch	OMIMPS:118100	Klippel-Feil syndrome	semapv:UnspecifiedMatching
MONDO:0001029	Klippel-Feil syndrome	skos:exactMatch	Orphanet:2345	Isolated Klippel-Feil syndrome	semapv:UnspecifiedMatching
MONDO:0001032	Mooren ulcer	skos:exactMatch	Orphanet:519408	Mooren ulcer	semapv:UnspecifiedMatching
MONDO:0001046	imperforate anus	skos:exactMatch	OMIM:207500	anus, imperforate	semapv:UnspecifiedMatching
MONDO:0001046	imperforate anus	skos:exactMatch	OMIM:301800	anus, imperforate	semapv:UnspecifiedMatching
MONDO:0001056	gastric cancer	skos:exactMatch	OMIM:613659	gastric cancer	semapv:UnspecifiedMatching
MONDO:0001115	familial polycythemia	skos:exactMatch	OMIMPS:133100	Erythrocytosis, familial	semapv:UnspecifiedMatching
MONDO:0001153	obsolete gender dysphoria	skos:exactMatch	Orphanet:459690	NON RARE IN EUROPE: Gender dysphoria	semapv:UnspecifiedMatching
MONDO:0001187	urinary bladder cancer	skos:exactMatch	OMIM:109800	bladder cancer	semapv:UnspecifiedMatching
MONDO:0001195	spotted fever	skos:exactMatch	Orphanet:102022	Spotted fever rickettsiosis	semapv:UnspecifiedMatching
MONDO:0001246	typhus	skos:exactMatch	Orphanet:102023	Typhus-group rickettsiosis	semapv:UnspecifiedMatching
MONDO:0001280	choroiditis	skos:exactMatch	Orphanet:280892	Posterior uveitis	semapv:UnspecifiedMatching
MONDO:0001309	oculomotor nerve paralysis	skos:exactMatch	Orphanet:98685	Rare oculomotor nerve disorder	semapv:UnspecifiedMatching
MONDO:0001325	penile cancer	skos:exactMatch	Orphanet:398043	Malignant tumor of penis	semapv:UnspecifiedMatching
MONDO:0001347	facioscapulohumeral muscular dystrophy	skos:exactMatch	OMIMPS:158900	Facioscapulohumeral muscular dystrophy	semapv:UnspecifiedMatching
MONDO:0001347	facioscapulohumeral muscular dystrophy	skos:exactMatch	Orphanet:269	Facioscapulohumeral dystrophy	semapv:UnspecifiedMatching
MONDO:0001384	myopia	skos:exactMatch	OMIMPS:160700	Myopia	semapv:UnspecifiedMatching
MONDO:0001444	Chagas disease	skos:exactMatch	Orphanet:3386	American trypanosomiasis	semapv:UnspecifiedMatching
MONDO:0001549	hemolytic-uremic syndrome	skos:exactMatch	Orphanet:544458	Hemolytic uremic syndrome	semapv:UnspecifiedMatching
MONDO:0001569	acoustic neuroma	skos:exactMatch	Orphanet:252175	Vestibular schwannoma	semapv:UnspecifiedMatching
MONDO:0001586	mucopolysaccharidosis type 1	skos:exactMatch	Orphanet:579	Mucopolysaccharidosis type 1	semapv:UnspecifiedMatching
MONDO:0001595	choreatic disease	skos:exactMatch	Orphanet:1429	Benign hereditary chorea	semapv:UnspecifiedMatching
MONDO:0001633	central retinal artery occlusion	skos:exactMatch	Orphanet:648684	Central retinal artery occlusion	semapv:UnspecifiedMatching
MONDO:0001676	erythropoietic protoporphyria	skos:exactMatch	OMIMPS:177000	Protoporphyria, erythropoietic	semapv:UnspecifiedMatching
MONDO:0001676	erythropoietic protoporphyria	skos:exactMatch	Orphanet:659681	Erythropoietic porphyria	semapv:UnspecifiedMatching
MONDO:0001703	color vision disorder	skos:exactMatch	Orphanet:98658	Color-vision disease	semapv:UnspecifiedMatching
MONDO:0001713	inherited aplastic anemia	skos:exactMatch	Orphanet:68383	Rare constitutional aplastic anemia	semapv:UnspecifiedMatching
MONDO:0001734	tuberous sclerosis	skos:exactMatch	OMIMPS:191100	Tuberous sclerosis	semapv:UnspecifiedMatching
MONDO:0001734	tuberous sclerosis	skos:exactMatch	Orphanet:805	Tuberous sclerosis complex	semapv:UnspecifiedMatching
MONDO:0001790	spinal cord lipoma	skos:exactMatch	Orphanet:645276	Spinal cord lipoma	semapv:UnspecifiedMatching
MONDO:0001807	obsolete familial combined hyperlipidemia	skos:exactMatch	Orphanet:79211	OBSOLETE: Combined hyperlipidemia	semapv:UnspecifiedMatching
MONDO:0001881	toxic shock syndrome	skos:exactMatch	Orphanet:36234	Bacterial toxic-shock syndrome	semapv:UnspecifiedMatching
MONDO:0001945	postencephalitic Parkinson disease	skos:exactMatch	Orphanet:97349	Postencephalitic parkinsonism	semapv:UnspecifiedMatching
MONDO:0001956	capillary leak syndrome	skos:exactMatch	Orphanet:188	Systemic capillary leak syndrome	semapv:UnspecifiedMatching
MONDO:0002009	major depressive disorder	skos:exactMatch	OMIM:608516	major depressive disorder	semapv:UnspecifiedMatching
MONDO:0002010	FG syndrome	skos:exactMatch	OMIMPS:305450	FG syndrome	semapv:UnspecifiedMatching
MONDO:0002013	lymphangioma	skos:exactMatch	Orphanet:2415	Rare lymphatic malformation	semapv:UnspecifiedMatching
MONDO:0002070	ventricular septal defect	skos:exactMatch	OMIMPS:614429	Ventricular septal defect	semapv:UnspecifiedMatching
MONDO:0002095	vascular cancer	skos:exactMatch	Orphanet:673466	Malignant vascular tumor	semapv:UnspecifiedMatching
MONDO:0002096	malignant conjunctival melanoma	skos:exactMatch	Orphanet:617910	Conjunctival malignant melanoma	semapv:UnspecifiedMatching
MONDO:0002142	undifferentiated pleomorphic sarcoma	skos:exactMatch	Orphanet:2023	Undifferentiated pleomorphic sarcoma	semapv:UnspecifiedMatching
MONDO:0002145	disorder of sexual differentiation	skos:exactMatch	Orphanet:90771	Difference of sex development	semapv:UnspecifiedMatching
MONDO:0002158	fallopian tube cancer	skos:exactMatch	Orphanet:180242	Malignant tumor of fallopian tubes	semapv:UnspecifiedMatching
MONDO:0002303	central retinal vein occlusion	skos:exactMatch	Orphanet:411527	Central retinal vein occlusion	semapv:UnspecifiedMatching
MONDO:0002350	familial nephrotic syndrome	skos:exactMatch	OMIMPS:256300	Nephrotic syndrome	semapv:UnspecifiedMatching
MONDO:0002408	hereditary hyperbilirubinemia	skos:exactMatch	OMIMPS:237450	Hyperbilirubinemia	semapv:UnspecifiedMatching
MONDO:0002412	disorder of glycogen metabolism	skos:exactMatch	OMIMPS:232200	Glycogen storage disease	semapv:UnspecifiedMatching
MONDO:0002412	disorder of glycogen metabolism	skos:exactMatch	Orphanet:79201	Glycogen storage disease	semapv:UnspecifiedMatching
MONDO:0002413	glycogen storage disease I	skos:exactMatch	Orphanet:364	Glycogen storage disease due to glucose-6-phosphatase deficiency	semapv:UnspecifiedMatching
MONDO:0002422	adamantinoma	skos:exactMatch	OMIM:102660	adamantinoma of long bones	semapv:UnspecifiedMatching
MONDO:0002422	adamantinoma	skos:exactMatch	Orphanet:55881	Adamantinoma	semapv:UnspecifiedMatching
MONDO:0002429	idiopathic interstitial pneumonia	skos:exactMatch	Orphanet:98300	Idiopathic interstitial pneumonia	semapv:UnspecifiedMatching
MONDO:0002441	Jervell and Lange-Nielsen syndrome	skos:exactMatch	OMIMPS:220400	Jervell and Lange-Nielsen syndrome	semapv:UnspecifiedMatching
MONDO:0002441	Jervell and Lange-Nielsen syndrome	skos:exactMatch	Orphanet:90647	Jervell and Lange-Nielsen syndrome	semapv:UnspecifiedMatching
MONDO:0002457	Treacher-Collins syndrome	skos:exactMatch	OMIMPS:154500	Treacher Collins syndrome	semapv:UnspecifiedMatching
MONDO:0002457	Treacher-Collins syndrome	skos:exactMatch	Orphanet:861	Treacher-Collins syndrome	semapv:UnspecifiedMatching
MONDO:0002474	primary hyperoxaluria	skos:exactMatch	OMIMPS:259900	Hyperoxaluria, primary	semapv:UnspecifiedMatching
MONDO:0002474	primary hyperoxaluria	skos:exactMatch	Orphanet:416	Primary hyperoxaluria	semapv:UnspecifiedMatching
MONDO:0002520	hepatic porphyria	skos:exactMatch	Orphanet:659694	Hepatic porphyria	semapv:UnspecifiedMatching
MONDO:0002525	inherited lipid metabolism disorder	skos:exactMatch	Orphanet:309005	Disorder of lipid metabolism	semapv:UnspecifiedMatching
MONDO:0002546	schwannoma	skos:exactMatch	Orphanet:252164	Benign schwannoma	semapv:UnspecifiedMatching
MONDO:0002561	lysosomal storage disease	skos:exactMatch	Orphanet:68366	Lysosomal disease	semapv:UnspecifiedMatching
MONDO:0002571	primary central nervous system lymphoma	skos:exactMatch	Orphanet:46135	Primary central nervous system lymphoma	semapv:UnspecifiedMatching
MONDO:0002588	thymoma type A	skos:exactMatch	Orphanet:263310	Thymoma type A	semapv:UnspecifiedMatching
MONDO:0002629	bone osteosarcoma	skos:exactMatch	OMIM:259500	osteogenic sarcoma	semapv:UnspecifiedMatching
MONDO:0002629	bone osteosarcoma	skos:exactMatch	Orphanet:668	Osteosarcoma	semapv:UnspecifiedMatching
MONDO:0002653	Paget disease of the penis	skos:exactMatch	Orphanet:398053	Adenocarcinoma of the penis	semapv:UnspecifiedMatching
MONDO:0002684	atypical choroid plexus papilloma	skos:exactMatch	Orphanet:251902	Atypical papilloma of choroid plexus	semapv:UnspecifiedMatching
MONDO:0002687	superior mesenteric artery syndrome	skos:exactMatch	Orphanet:622099	Superior mesenteric artery syndrome	semapv:UnspecifiedMatching
MONDO:0002697	ovarian gonadoblastoma	skos:exactMatch	OMIM:424500	gonadoblastoma	semapv:UnspecifiedMatching
